,university_name,university_status,university_city,university_ball
430,Приморская государственная сельскохозяйственная академия,,Уссурийск,"7,55"
431,Академия Федеральной службы охраны РФ,,Орел,"7,43"
432,Самарский университет государственного управления “Международный институт рынка”,,Самара,"7,3"
433,Московский финансово-юридический университет МФЮА,,Москва,"7,21"
434,Сахалинский государственный университет,,Южно-Сахалинск,"7,19"
435,Дагестанский государственный университет народного хозяйства,,Махачкала,"7,07"
436,Смоленская государственная сельскохозяйственная академия,,Смоленск,"6,9"
437,Ростовский юридический институт МВД РФ,,Ростов-на-Дону,"6,9"
438,Московский государственный гуманитарно-экономический университет,,Москва,"6,9"
439,Глазовский государственный педагогический институт им. В.Г. Короленко,,Глазов,"6,89"
440,Сколковский институт науки и технологий,,Сколково,"6,89"
441,Костромская государственная сельскохозяйственная академия,,Кострома,"6,84"
442,Якутская государственная сельскохозяйственная академия,,Якутск,"6,79"
443,Ивановская государственная сельскохозяйственная академия им. акад. Д.К. Беляева,,Иваново,"6,78"
444,Ингушский государственный университет,,Магас,"6,74"
445,Уральский юридический институт МВД РФ,,Екатеринбург,"6,73"
446,Вологодский институт права и экономики ФСИН России,,Вологда,"6,46"
447,Морской государственный университет им. адм. Г.И. Невельского,,Владивосток,"6,4"
448,Московский государственный институт индустрии туризма им. Ю.А. Сенкевича,,Москва,"6,32"
449,Московский психолого-социальный университет,,Москва,"6,32"
450,Военная академия ракетных войск стратегического назначения им. Петра Великого,,Москва,"6,27"
451,Амурский гуманитарно-педагогический государственный университет,,Комсомольск-на-Амуре,"6,19"
452,Ярославская государственная сельскохозяйственная академия,,Ярославль,"6,17"
453,Московский городской университет управления Правительства Москвы,,Москва,"6,06"
454,Чеченский государственный педагогический университет,,Грозный,"6,02"
455,Омская юридическая академия,,Омск,"5,98"
456,Алтайский государственный институт культуры,,Барнаул,"5,98"
457,Уральский институт Государственной противопожарной службы МЧС России,,Екатеринбург,"5,95"
458,Белгородский государственный институт искусств и культуры,,Белгород,"5,85"
459,Санкт-Петербургский военный институт войск национальной гвардии,,Санкт-Петербург,"5,78"
460,Пермский военный институт войск национальной гвардии Российской Федерации,,Пермь,"5,78"
461,Московский архитектурный институт,,Москва,"5,75"
462,"Смоленская государственная академия физической культуры, спорта и туризма",,Смоленск,"5,71"
463,Московская высшая школа социальных и экономических наук,,Москва,"5,7"
464,Самарский государственный институт культуры,,Самара,"5,68"
465,Московский международный университет,,Москва,"5,59"
466,Казанская государственная академия ветеринарной медицины им. Н.Э. Баумана,,Казань,"5,57"
467,Камчатский государственный университет им. Витуса Беринга,,Петропавловск-Камчатский,"5,54"
468,Академия маркетинга и социально-информационных технологий,,Краснодар,"5,44"
469,Университет управления “ТИСБИ” (Татарский институт содействия бизнесу),,Казань,"5,42"
470,Международный инновационный университет,,Сочи,"5,17"
471,Астраханский государственный архитектурно-строительный университет,,Астрахань,"5,12"
472,Красноярский государственный институт искусств,,Красноярск,"5,07"
473,Нижегородская государственная консерватория им. М.И. Глинки,,Нижний Новгород,"5,03"
474,Самарский юридический институт ФСИН России,,Самара,"4,88"
475,Медицинский университет “РЕАВИЗ”,,Самара,"4,82"
476,Камчатский государственный технический университет,,Петропавловск-Камчатский,"4,82"
477,Владимирский юридический институт ФСИН России,,Владимир,"4,79"
478,Керченский государственный морской технологический университет,,Керчь,"4,78"
